Time,QuestX,QuestY,QuestZ,QuestRx,QuestRy,QuestRz,LeftX,LeftY,LeftZ,LeftRx,LeftRy,LeftRz,RightX,RightY,RightZ,RightRx,RightRy,RightRz
3/9/2023 1:05:20 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65119839,0.0194520429,2.16364622,2.10754,270.533356,357.0303,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:20 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65085459,0.0194409341,2.16334772,2.1289196,270.2412,357.036682,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:20 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65109968,0.0196049362,2.16360879,2.03596139,270.451843,357.089447,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:21 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65094626,0.0196027011,2.16348553,2.06127238,270.2825,357.1147,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:21 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.651324,0.0194968134,2.16383338,2.20833182,270.6541,357.246765,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:21 PM,2597.18115,-2206.14771,1139.46741,30.9392,261.6591,245.103973,1.65124512,0.01946602,2.16375875,2.09881186,270.561859,357.184448,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:21 PM,2583.208,-2215.07715,1151.01917,32.9330864,259.482056,244.24791,1.65103924,0.0195485651,2.16357374,2.13960266,270.3488,357.37912,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:21 PM,2570.134,-2220.1543,1163.21228,33.56113,252.36499,239.169312,1.65108907,0.0195993856,2.16359663,2.05641317,270.401672,357.430939,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:21 PM,2565.55347,-2228.43726,1164.2793,33.4451,251.97226,238.8564,1.65105355,0.0197269022,2.16356468,2.03104639,270.352478,357.5528,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:21 PM,2564.39331,-2232.18115,1164.958,32.56449,250.253281,237.737915,1.651229,0.01961255,2.16375542,2.06592512,270.491638,357.492859,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
