Time,QuadX,QuadY,QuadZ,QuestX,QuestY,QuestZ,QuestRx,QuestRy,QuestRz,LeftX,LeftY,LeftZ,LeftRx,LeftRy,LeftRz,RightX,RightY,RightZ,RightRx,RightRy,RightRz
3/9/2023 4:26:57 PM,-208.70166,-0.03908962,-0.432856917,-0.332884222,1.6563853,0.5438835,350.053375,95.17914,358.7195,-0.3965908,1.68343472,0.300923616,345.91684,183.82692,235.091385,1.62932825,0.733662844,2.08587146,0.747510254,38.0487061,273.42218
3/9/2023 4:26:57 PM,-208.701645,-0.03842345,-0.433269,-0.214702144,1.6684444,0.532873452,340.4185,90.9155655,354.636749,-0.277223855,1.688044,0.284755975,345.3203,184.151489,232.947021,1.62932825,0.733662844,2.08587146,0.747510254,38.0487061,273.42218
3/9/2023 4:26:57 PM,-208.70166,-0.04354334,-0.435156882,-0.11042323,1.69800389,0.52988416,338.782166,86.03136,358.407837,-0.144446865,1.7180512,0.2786648,344.131256,180.485626,231.1203,1.62932825,0.733662844,2.08587146,0.747510254,38.0487061,273.42218
3/9/2023 4:26:57 PM,-208.7017,-0.04231801,-0.435163856,0.008486542,1.739986,0.5323813,336.887024,82.6370544,356.81134,-0.0195420831,1.75210452,0.270194262,345.228973,179.9969,230.0941,1.62932825,0.733662844,2.08587146,0.747510254,38.0487061,273.42218
3/9/2023 4:26:57 PM,-208.701752,-0.0423266962,-0.4340056,0.122662582,1.77464378,0.5336328,330.631042,80.82125,355.29364,0.102097519,1.74084961,0.233016342,348.190582,186.770157,232.631027,1.62932825,0.733662844,2.08587146,0.747510254,38.0487061,273.42218
3/9/2023 4:26:57 PM,-208.7018,-0.0413816,-0.435064882,0.2429696,1.77645528,0.542323351,329.4137,79.49717,353.2514,0.240876049,1.68276107,0.219368741,340.736725,195.22934,239.564209,1.62932825,0.733662844,2.08587146,0.747510254,38.0487061,273.42218
3/9/2023 4:26:58 PM,-208.701889,-0.0389914624,-0.4333186,0.366467,1.76757944,0.5582292,328.4425,76.2419,351.8233,0.4400231,1.54968441,0.251127362,318.160858,192.150589,259.886536,1.62932825,0.733662844,2.08587146,0.747510254,38.0487061,273.42218
3/9/2023 4:26:58 PM,-208.70195,-0.037632525,-0.433137,0.5377239,1.778229,0.5731857,327.810364,75.1816254,349.638062,0.6323989,1.3085345,0.265657783,306.893158,153.757431,320.327454,1.62932825,0.733662844,2.08587146,0.747510254,38.0487061,273.42218
3/9/2023 4:26:58 PM,-208.7019,-0.0452035666,-0.433729321,0.691828549,1.79411972,0.5719777,327.296875,75.95736,349.00946,0.725079,1.112717,0.224313542,316.83493,129.619934,5.67057848,0.346487552,1.09242666,0.196970791,31.9788914,287.6292,42.260788
3/9/2023 4:26:58 PM,-208.701965,-0.0428378321,-0.433242679,0.8234013,1.79361415,0.560088456,324.133728,74.25072,350.8868,0.7871565,1.00901949,0.146900684,325.920959,127.168465,24.804163,0.346487552,1.09242666,0.196970791,31.9788914,287.6292,42.260788
